Feature,Coefficient,Abs_Coefficient,Nomogram_points_like,Direction
sg,-2.5024419372543636,2.5024419372543636,100.0,Menurunkan peluang CKD
hemo,-2.22186399559378,2.22186399559378,88.8,Menurunkan peluang CKD
al,1.6854528284589958,1.6854528284589958,67.4,Meningkatkan peluang CKD
dm_yes,1.5534918945014817,1.5534918945014817,62.1,Meningkatkan peluang CKD
appet_poor,1.531146516428696,1.531146516428696,61.2,Meningkatkan peluang CKD
htn_yes,1.2679943373799496,1.2679943373799496,50.7,Meningkatkan peluang CKD
pcv,-0.9217824091076928,0.9217824091076928,36.8,Menurunkan peluang CKD
sc,0.8423397184953497,0.8423397184953497,33.7,Meningkatkan peluang CKD
rc,-0.6031408994061055,0.6031408994061055,24.1,Menurunkan peluang CKD
pe_yes,0.5521390325439204,0.5521390325439204,22.1,Meningkatkan peluang CKD
su,0.5278957353385956,0.5278957353385956,21.1,Meningkatkan peluang CKD
bgr,0.4730613559855446,0.4730613559855446,18.9,Meningkatkan peluang CKD
sod,-0.25491714855968384,0.25491714855968384,10.2,Menurunkan peluang CKD
bp,0.10485078456263147,0.10485078456263147,4.2,Meningkatkan peluang CKD
bu,0.06926031267257961,0.06926031267257961,2.8,Meningkatkan peluang CKD
