Feature,Permutation_importance_mean,Permutation_importance_sd
su,0.026443123938879466,0.00438251776835023
hemo,0.021052631578947333,0.007357048016863777
sg,0.01290322580645159,0.004094110543900662
al,0.010738539898132426,0.003611802444737684
bp,0.004626485568760585,0.0036137970893435037
pcv,0.004414261460101843,0.003671906409827211
htn,0.002504244482173157,0.0012655391779181418
bu,0.0015704584040746705,0.002181267429122162
sod,0.0009337860780984752,0.0007302483248763142
wc,0.00046689303904922096,0.0010474501425511665
bgr,0.0003395585738539819,0.0008862738971910319
sc,0.0001697792869269854,0.0003395585738539708
age,8.48896434634927e-05,0.0001697792869269854
pot,0.0,0.0
ba,0.0,0.0
pcc,0.0,0.0
pc,0.0,0.0
rc,0.0,0.0
rbc,0.0,0.0
dm,0.0,0.0
cad,0.0,0.0
appet,0.0,0.0
pe,0.0,0.0
ane,0.0,0.0
